DETAILED TRIAL RESULTS - bayesian_tuning
==================================================
Objective: Minimize Averge Energy 

Trial  | Time(s)  | Avg Energy  | Perplexity  | Combined Loss | n_embed | block_size | heads | blocks | Ts(E/A/LA/F1/F2/O)   | LR       | Warmup | Dropout | Bias 
----------------------------------------------------------------------------------------------------------------------------------------------------------------
0      | 160.0    | 0.722112    | 1147.0347   | 0.722112    | 192     | 432        | 2     | 9      | 3/13/10/4/9/8        |2.05e-04 | 1556   | 0.423   | False
1      | 83.4     | 1193742.853370 | 8.1007      | 1193742.853370 | 288     | 208        | 8     | 4      | 7/5/12/5/3/10        |9.33e-03 | 50     | 0.332   | True 
2      | 140.3    | 0.745645    | 973.7786    | 0.745645    | 256     | 512        | 4     | 8      | 4/10/3/3/3/14        |2.61e-04 | 742    | 0.407   | True 
3      | 147.4    | 0.729876    | 1200.0681   | 0.729876    | 192     | 96         | 4     | 12     | 9/5/5/5/5/7          |1.31e-05 | 1720   | 0.169   | True 
4      | 192.2    | 0.714105    | 1100.1597   | 0.714105    | 64      | 512        | 8     | 8      | 6/9/10/10/11/9       |2.67e-04 | 245    | 0.418   | False
5      | 473.7    | 19.557701   | 5.6929      | 19.557701   | 416     | 320        | 8     | 10     | 4/12/10/8/6/14       |5.80e-03 | 361    | 0.366   | True 
6      | 23.9     | 1.685880    | 503.6784    | 1.685880    | 496     | 512        | 16    | 1      | 9/3/3/4/4/3          |1.56e-03 | 151    | 0.010   | False
7      | 219.9    | 0.717642    | 952.5264    | 0.717642    | 192     | 240        | 6     | 9      | 12/12/11/4/11/11     |3.82e-04 | 464    | 0.270   | False
8      | 16.1     | 0.644394    | 745.4639    | 0.644394    | 160     | 240        | 16    | 1      | 12/4/7/6/6/3         |2.85e-03 | 163    | 0.101   | False
9      | 213.3    | 0.792882    | 774.9183    | 0.792882    | 448     | 80         | 14    | 5      | 6/8/4/7/7/7          |1.99e-04 | 77     | 0.268   | False
10     | 12.0     | 0.540537    | 1019.5815   | 0.540537    | 64      | 320        | 2     | 1      | 14/3/7/10/14/3       |1.51e-03 | 133    | 0.102   | False
11     | 13.0     | 0.535956    | 985.5557    | 0.535956    | 64      | 320        | 2     | 1      | 14/3/7/14/14/3       |1.75e-03 | 122    | 0.099   | False
